DATAFLOW,LAST UPDATE,freq,unit,lev_know,isco08,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC6-8,CY,2011,44.9,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC6-8,CY,2016,51.6,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC6-8,CZ,2007,77.7,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC6-8,CZ,2011,61.8,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC6-8,CZ,2016,83.4,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC6-8,DE,2007,79.5,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC6-8,DE,2011,69.6,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC6-8,DE,2016,65.5,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC6-8,DK,2011,44.0,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC6-8,DK,2016,34.1,u
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC6-8,EA19,2007,68.4,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC6-8,EA19,2011,61.6,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC6-8,EA19,2016,64.0,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC6-8,EE,2007,41.0,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC6-8,EE,2011,40.5,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC6-8,EE,2016,68.5,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC6-8,EL,2007,73.2,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC6-8,EL,2011,68.2,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC6-8,EL,2016,64.4,
