"ITTER107","Territorio","SEXISTAT1","Sesso","ETA1","Classe di età","TITOLO_STUDIO","Titolo di studio","CITTADINANZA","Cittadinanza","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","1","maschi","Y15-89","15-89 anni","11","laurea e post-laurea","FRG","straniero-a","2018-Q1","T1-2018",108.164,,
"IT","Italia","1","maschi","Y15-89","15-89 anni","11","laurea e post-laurea","FRG","straniero-a","2018-Q4","T4-2018",103.748,,
"IT","Italia","1","maschi","Y15-89","15-89 anni","11","laurea e post-laurea","FRG","straniero-a","2018-Q3","T3-2018",125.922,,
"IT","Italia","1","maschi","Y15-89","15-89 anni","11","laurea e post-laurea","FRG","straniero-a","2019","2019",115.743,,
"IT","Italia","1","maschi","Y15-89","15-89 anni","11","laurea e post-laurea","FRG","straniero-a","2019-Q1","T1-2019",98.331,,
"IT","Italia","1","maschi","Y15-89","15-89 anni","11","laurea e post-laurea","FRG","straniero-a","2019-Q2","T2-2019",127.629,,
"IT","Italia","1","maschi","Y15-89","15-89 anni","11","laurea e post-laurea","FRG","straniero-a","2019-Q4","T4-2019",111.16,,
"IT","Italia","1","maschi","Y15-89","15-89 anni","11","laurea e post-laurea","FRG","straniero-a","2019-Q3","T3-2019",125.851,,
"IT","Italia","1","maschi","Y15-89","15-89 anni","11","laurea e post-laurea","FRG","straniero-a","2020","2020",102.315,,
"IT","Italia","1","maschi","Y15-89","15-89 anni","11","laurea e post-laurea","FRG","straniero-a","2020-Q2","T2-2020",96.41,,
"IT","Italia","1","maschi","Y15-89","15-89 anni","11","laurea e post-laurea","FRG","straniero-a","2020-Q1","T1-2020",98.978,,
"IT","Italia","1","maschi","Y15-89","15-89 anni","11","laurea e post-laurea","FRG","straniero-a","2020-Q3","T3-2020",105.921,,
"IT","Italia","1","maschi","Y15-89","15-89 anni","11","laurea e post-laurea","FRG","straniero-a","2020-Q4","T4-2020",107.951,,
"IT","Italia","1","maschi","Y15-89","15-89 anni","11","laurea e post-laurea","FRG","straniero-a","2021","2021",98.717,,
