"ITTER107","Territory","SEXISTAT1","Gender","ETA1","Age class","TITOLO_STUDIO","Highest level of education attained","CITTADINANZA","Citizenship","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q4","Q4-2022",590.741,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2018","2018",92.511,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2018-Q2","Q2-2018",97.686,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2018-Q1","Q1-2018",92.613,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2018-Q4","Q4-2018",85.88,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2018-Q3","Q3-2018",93.864,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2019","2019",98.853,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q1","Q1-2019",102.837,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q2","Q2-2019",107.84,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q4","Q4-2019",90.122,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q3","Q3-2019",94.614,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2020","2020",88.442,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q2","Q2-2020",88.447,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q1","Q1-2020",85.056,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q3","Q3-2020",91.239,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q4","Q4-2020",89.025,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2021","2021",92.385,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2022","2022",112.554,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q1","Q1-2021",75.451,,
