àùTerritory,Year,Sex,Age,Quantity
IT,2023,Female,62,28630
IT,2019,Female,63,22204
IT,2020,Female,63,24078
IT,2021,Female,63,25017
IT,2022,Female,63,25361
IT,2023,Female,63,25807
IT,2019,Female,64,20001
IT,2020,Female,64,22075
IT,2021,Female,64,22894
IT,2022,Female,64,22938
IT,2023,Female,64,24119
IT,2019,Female,65,17552
IT,2020,Female,65,19854
IT,2021,Female,65,20822
IT,2022,Female,65,20763
IT,2023,Female,65,21801
IT,2019,Female,66,16106
IT,2020,Female,66,17421
IT,2021,Female,66,18597
IT,2022,Female,66,18804
IT,2023,Female,66,19708
IT,2019,Female,67,13859
IT,2020,Female,67,15819
IT,2021,Female,67,16057
IT,2022,Female,67,16424
IT,2023,Female,67,17726
IT,2019,Female,68,13224
IT,2020,Female,68,13660
IT,2021,Female,68,14462
IT,2022,Female,68,14172
IT,2023,Female,68,15561
IT,2019,Female,69,11536
IT,2020,Female,69,13013
IT,2021,Female,69,12409
IT,2022,Female,69,12808
IT,2023,Female,69,13338
IT,2019,Female,7,29686
IT,2020,Female,7,30808
IT,2021,Female,7,30620
IT,2022,Female,7,31347
IT,2023,Female,7,30819
IT,2019,Female,70,9893
IT,2020,Female,70,11333
IT,2021,Female,70,11885
IT,2022,Female,70,10921
IT,2023,Female,70,12100
IT,2019,Female,71,8168
IT,2020,Female,71,9751
IT,2021,Female,71,10221
IT,2022,Female,71,10425
IT,2023,Female,71,10355
IT,2019,Female,72,6857
IT,2020,Female,72,8108
IT,2021,Female,72,8704
IT,2022,Female,72,8891
IT,2023,Female,72,9848
IT,2019,Female,73,5547
IT,2020,Female,73,6769
IT,2021,Female,73,7311
IT,2022,Female,73,7613
IT,2023,Female,73,8419
IT,2019,Female,74,5119
IT,2020,Female,74,5467
IT,2021,Female,74,6072
IT,2022,Female,74,6385
IT,2023,Female,74,7164
IT,2019,Female,75,4666
IT,2020,Female,75,5038
IT,2021,Female,75,4864
IT,2022,Female,75,5249
IT,2023,Female,75,6044
IT,2019,Female,76,4703
IT,2020,Female,76,4616
IT,2021,Female,76,4482
IT,2022,Female,76,4208
IT,2023,Female,76,4932
IT,2019,Female,77,3700
IT,2020,Female,77,4582
IT,2021,Female,77,4080
IT,2022,Female,77,3898
IT,2023,Female,77,3994
IT,2019,Female,78,4077
IT,2020,Female,78,3606
IT,2021,Female,78,4070
IT,2022,Female,78,3576
IT,2023,Female,78,3627
IT,2019,Female,79,3162
IT,2020,Female,79,3991
IT,2021,Female,79,3164
IT,2022,Female,79,3527
IT,2023,Female,79,3320
IT,2019,Female,8,28877
IT,2020,Female,8,29118
IT,2021,Female,8,30166
IT,2022,Female,8,30269
IT,2023,Female,8,30924
IT,2019,Female,80,2905
IT,2020,Female,80,3096
IT,2021,Female,80,3483
IT,2022,Female,80,2714
IT,2023,Female,80,3283
IT,2019,Female,81,2517
IT,2020,Female,81,2853
IT,2021,Female,81,2651
IT,2022,Female,81,2946
IT,2023,Female,81,2533
IT,2019,Female,82,2138
IT,2020,Female,82,2431
IT,2021,Female,82,2493
IT,2022,Female,82,2257
IT,2023,Female,82,2711
IT,2019,Female,83,1746
IT,2020,Female,83,2069
IT,2021,Female,83,2066
IT,2022,Female,83,2065
IT,2023,Female,83,2086
IT,2019,Female,84,1483
IT,2020,Female,84,1663
IT,2021,Female,84,1760
IT,2022,Female,84,1702
IT,2023,Female,84,1923
IT,2019,Female,85,1184
IT,2020,Female,85,1428
IT,2021,Female,85,1409
IT,2022,Female,85,1442
IT,2023,Female,85,1584
IT,2019,Female,86,1105
IT,2020,Female,86,1165
IT,2021,Female,86,1168
IT,2022,Female,86,1125
IT,2023,Female,86,1324
IT,2019,Female,87,772
IT,2020,Female,87,1045
IT,2021,Female,87,929
IT,2022,Female,87,957
IT,2023,Female,87,1030
IT,2019,Female,88,898
IT,2020,Female,88,697
IT,2021,Female,88,842
IT,2022,Female,88,750
IT,2023,Female,88,870
IT,2019,Female,89,565
IT,2020,Female,89,808
IT,2021,Female,89,536
IT,2022,Female,89,682
IT,2023,Female,89,687
IT,2019,Female,9,28578
IT,2020,Female,9,28468
IT,2021,Female,9,28394
IT,2022,Female,9,30067
IT,2023,Female,9,29819
IT,2019,Female,90,490
IT,2020,Female,90,536
IT,2021,Female,90,624
IT,2022,Female,90,420
IT,2023,Female,90,622
IT,2019,Female,91,410
IT,2020,Female,91,440
IT,2021,Female,91,382
IT,2022,Female,91,477
IT,2023,Female,91,369
IT,2019,Female,92,313
IT,2020,Female,92,375
IT,2021,Female,92,325
IT,2022,Female,92,318
IT,2023,Female,92,409
IT,2019,Female,93,283
IT,2020,Female,93,280
IT,2021,Female,93,278
IT,2022,Female,93,234
IT,2023,Female,93,280
IT,2019,Female,94,190
IT,2020,Female,94,237
IT,2021,Female,94,190
